Medicare_ID,Actual_PPR_Rate_All,Actual_PPR_Rate_Non-BH,Actual_PPR_Rate_BH,Target_PPR_Rate_All,Target_PPR_Rate_Non-BH,Target_PPR_Rate_BH,Actual_Over_Target_PPR_Rate_All,Actual_Over_Target_PPR_Rate_Non-BH,Actual_Over_Target_PPR_Rate_BH,Excess_(Below)_PPR_Target
140291,7.41%,7.41%,0.00%,7.76%,7.76%,0.00%,95.46%,95.46%,0.00%,-1
140033,10.20%,0.00%,10.20%,14.65%,0.00%,14.65%,69.65%,,69.65%,-7
140084,5.50%,5.50%,0.00%,5.96%,5.95%,9.81%,92.21%,92.45%,0.00%,-5
140242,6.53%,5.96%,20.83%,6.21%,5.84%,15.75%,105.07%,102.12%,132.28%,4
140197,20.84%,13.89%,23.95%,17.98%,12.96%,20.23%,115.89%,107.17%,118.39%,27
140088,9.95%,9.87%,30.77%,7.66%,7.64%,12.72%,129.92%,129.25%,241.90%,81
143300,6.93%,6.93%,,5.56%,5.56%,0.00%,124.67%,124.67%,,60
140133,15.12%,14.90%,40.00%,10.84%,10.78%,17.32%,139.48%,138.19%,230.95%,48
143301,16.31%,16.31%,,7.57%,7.57%,0.00%,215.48%,215.48%,,25
140083,18.12%,16.58%,19.56%,15.66%,12.29%,18.80%,115.74%,134.90%,104.04%,19
140158,12.42%,10.50%,24.60%,10.98%,9.68%,19.25%,113.15%,108.50%,127.78%,26
140018,12.84%,11.13%,25.26%,9.35%,8.00%,19.13%,137.37%,139.13%,132.02%,113
140206,16.57%,10.77%,25.12%,12.47%,7.88%,19.23%,132.89%,136.70%,130.62%,43
140119,11.84%,11.02%,22.87%,9.44%,8.86%,17.32%,125.37%,124.43%,132.06%,66
140300,6.06%,6.06%,,9.27%,9.27%,0.00%,65.38%,65.38%,,-7
140103,18.79%,16.09%,22.84%,13.88%,10.00%,19.72%,135.36%,160.92%,115.83%,64
140224,18.42%,12.98%,29.79%,12.70%,9.74%,18.90%,145.01%,133.24%,157.60%,33
140180,18.07%,11.10%,29.32%,12.63%,8.79%,18.84%,143.03%,126.29%,155.64%,195
140048,12.65%,12.65%,,9.46%,9.46%,0.00%,133.72%,133.72%,,37
140114,10.52%,9.69%,18.04%,9.18%,8.22%,17.92%,114.55%,117.86%,100.68%,26
140151,16.79%,16.86%,0.00%,11.06%,11.02%,19.78%,151.84%,152.98%,0.00%,15
140117,7.69%,7.69%,,8.54%,8.54%,0.00%,90.07%,90.07%,,-4
140082,15.11%,15.05%,17.65%,12.33%,12.23%,17.07%,122.51%,123.09%,103.38%,24
140181,16.33%,16.25%,20.00%,10.19%,9.98%,20.42%,160.22%,162.83%,97.94%,30
140177,21.77%,15.06%,27.02%,15.78%,10.10%,20.22%,137.95%,149.10%,133.63%,81
140179,9.38%,9.41%,0.00%,9.43%,9.42%,12.35%,99.42%,99.85%,0.00%,0
140182,13.12%,10.97%,21.25%,10.56%,8.28%,19.20%,124.24%,132.46%,110.70%,35
140095,12.56%,6.19%,33.33%,9.28%,6.18%,19.40%,135.31%,100.14%,171.82%,44
140251,10.87%,10.77%,100.00%,9.78%,9.78%,9.81%,111.17%,110.08%,1019.37%,9
140150,14.01%,13.60%,20.22%,9.30%,8.83%,16.68%,150.59%,154.05%,121.21%,141
140172,7.66%,7.66%,0.00%,7.38%,7.38%,0.00%,103.79%,103.79%,,3
140115,19.66%,17.16%,25.14%,13.83%,11.42%,19.13%,142.14%,150.30%,131.40%,34
140068,19.30%,19.12%,50.00%,12.75%,12.73%,15.99%,151.36%,150.18%,312.70%,22
140281,13.10%,13.10%,13.19%,10.84%,10.48%,17.78%,120.87%,124.98%,74.17%,42
144026,15.25%,0.00%,15.25%,18.62%,,18.62%,81.92%,,81.92%,-2
143302,0.00%,0.00%,0.00%,2.94%,2.94%,0.00%,0.00%,0.00%,,-2
140288,7.48%,7.66%,5.88%,8.46%,7.83%,14.07%,88.42%,97.81%,41.81%,-5
140030,6.21%,6.21%,0.00%,5.29%,5.29%,0.00%,117.38%,117.38%,,7
140217,13.03%,12.21%,14.07%,11.68%,8.81%,15.33%,111.55%,138.58%,91.81%,4
140200,5.08%,5.10%,0.00%,7.46%,7.44%,18.31%,68.16%,68.51%,0.00%,-10
140010,10.66%,10.30%,15.63%,8.63%,8.11%,15.87%,123.50%,127.03%,98.46%,19
140080,11.52%,11.46%,25.00%,9.26%,9.22%,18.35%,124.39%,124.31%,136.24%,22
140258,8.64%,8.67%,0.00%,7.16%,7.13%,16.17%,120.73%,121.65%,0.00%,9
144009,10.87%,0.00%,10.87%,18.85%,0.00%,18.85%,57.66%,,57.66%,-7
140211,5.84%,5.96%,0.00%,6.85%,6.69%,15.00%,85.32%,89.09%,0.00%,-2
140292,13.11%,7.01%,16.34%,14.60%,8.55%,17.80%,89.77%,81.98%,91.78%,-9
140191,11.60%,9.40%,17.57%,9.50%,7.03%,16.20%,122.10%,133.70%,108.48%,19
140122,6.31%,6.02%,8.82%,7.28%,6.48%,14.33%,86.63%,92.90%,61.57%,-3
140250,8.22%,8.25%,0.00%,7.29%,7.26%,13.38%,112.75%,113.66%,0.00%,5
140290,5.96%,5.97%,0.00%,5.83%,5.83%,9.88%,102.17%,102.34%,0.00%,1
